Date,Open,High,Low,Close,Volume,Market Cap
"Jun 18, 2017",3.79,5.26,3.47,5.26,61381000.00,189717000.00
"Jun 19, 2017",5.46,11.81,5.46,11.72,281341000.00,273011000.00
"Jun 20, 2017",11.79,11.79,7.87,8,126661000.00,589390000.00
"Jun 21, 2017",8.04,10.21,7.81,10.15,88374400.00,401956000.00
"Jun 22, 2017",10.16,10.51,6.9,6.94,115249000.00,507921000.00
"Jun 23, 2017",6.92,7.43,5.78,6.84,67033300.00,346025000.00
"Jun 24, 2017",6.87,7.11,6.25,6.3,33359500.00,343738000.00
"Jun 25, 2017",6.29,6.46,5.66,5.95,24890900.00,314543000.00
"Jun 26, 2017",5.95,6.22,4.42,5.53,27615900.00,297587000.00
"Jun 27, 2017",5.35,7.26,5.09,6.83,71029700.00,267538000.00
"Jun 28, 2017",6.96,8.69,6.49,8.38,72982300.00,347826000.00
"Jun 29, 2017",8.34,10.07,7.91,9.77,77050000.00,416970000.00
"Jun 30, 2017",9.72,10,8.6,8.73,43355500.00,485988000.00
"Jul 01, 2017",8.77,9.24,7.74,7.95,33128400.00,438293000.00
"Jul 02, 2017",7.96,8.51,6.75,8.1,47478700.00,397988000.00
"Jul 03, 2017",8.06,8.48,7.52,8.22,28820400.00,402786000.00
"Jul 04, 2017",8.22,8.49,7.77,7.78,15781600.00,410831000.00
"Jul 05, 2017",7.77,8.66,7.23,8.03,29368100.00,388453000.00
"Jul 06, 2017",7.98,8.34,7.69,7.84,17932500.00,399093000.00
"Jul 07, 2017",7.83,7.89,6.74,6.77,16409500.00,391569000.00
"Jul 08, 2017",6.79,7.63,5.91,7.45,24138500.00,339382000.00
"Jul 09, 2017",7.4,7.62,6.87,6.9,10422500.00,370072000.00
"Jul 10, 2017",6.91,6.96,5.58,6.03,11395300.00,345719000.00
"Jul 11, 2017",5.93,6.11,4.83,5.4,20182900.00,296309000.00
"Jul 12, 2017",5.31,6.69,5.07,6.63,23337300.00,265564000.00
"Jul 13, 2017",6.68,6.95,5.91,6.29,17824000.00,334240000.00
"Jul 14, 2017",6.27,6.29,5.42,5.54,12351000.00,313433000.00
"Jul 15, 2017",5.55,5.55,4.98,5.03,11294200.00,277400000.00
"Jul 16, 2017",5.03,5.27,4.83,5.04,9498420.00,251399000.00
"Jul 17, 2017",5.06,5.85,5.03,5.77,15013000.00,253054000.00
"Jul 18, 2017",5.77,6.29,5.51,6.02,18101700.00,288470000.00
"Jul 19, 2017",6.04,6.23,5.65,5.88,14255500.00,301935000.00
"Jul 20, 2017",5.89,7.47,5.89,7.21,25476100.00,294317000.00
"Jul 21, 2017",7.24,7.97,7.03,7.42,21298000.00,361826000.00
"Jul 22, 2017",7.39,9.12,7.31,8.62,32890800.00,369727000.00
"Jul 23, 2017",8.64,8.93,7.76,8.57,29915100.00,431881000.00
"Jul 24, 2017",8.61,8.81,8.19,8.46,21283700.00,430471000.00
"Jul 25, 2017",8.48,8.48,6.88,7.35,19480400.00,423876000.00
"Jul 26, 2017",7.33,7.59,6.58,7.17,16765600.00,366562000.00
"Jul 27, 2017",7.22,7.94,7.13,7.72,15251100.00,360772000.00
"Jul 28, 2017",7.75,7.88,6.93,7.09,15725800.00,387410000.00
"Jul 29, 2017",7.09,7.46,6.76,7.26,10518400.00,354258000.00
"Jul 30, 2017",7.27,7.3,6.94,7.15,9006030.00,363345000.00
"Jul 31, 2017",7.16,7.43,7.02,7.33,10856600.00,358222000.00
"Aug 01, 2017",7.36,8.2,6.96,7.86,18527900.00,368123000.00
"Aug 02, 2017",7.85,8.3,7.71,8.11,17559000.00,392732000.00
"Aug 03, 2017",8.19,10.7,8.06,10.67,49848800.00,409434000.00
"Aug 04, 2017",10.84,11.22,9.97,10.43,56285500.00,541832000.00
"Aug 05, 2017",10.39,14.95,10.24,14.02,82680400.00,519506000.00
"Aug 06, 2017",14.17,16.19,13.42,15.21,81450800.00,708471000.00
"Aug 07, 2017",15.2,20.24,14.36,18.68,166514000.00,759959000.00
"Aug 08, 2017",18.73,19.34,15.59,18.27,124589000.00,936705000.00
"Aug 09, 2017",18.34,21.94,17.46,21.75,116795000.00,917009000.00
"Aug 10, 2017",21.68,38.44,21.36,36.18,360125000.00,1084180000.00
"Aug 11, 2017",36.32,39.13,27.58,33.5,382070000.00,1815780000.00
"Aug 12, 2017",33.16,37.37,30.45,36.61,177772000.00,1657810000.00
"Aug 13, 2017",36.86,52.63,35.32,46.65,448654000.00,1843040000.00
"Aug 14, 2017",47.63,52.02,44.79,47.43,343705000.00,2381360000.00
"Aug 15, 2017",47.5,47.99,39.52,47.49,262801000.00,2375010000.00
"Aug 16, 2017",46.98,51.24,44.69,45.54,170273000.00,2349050000.00
"Aug 17, 2017",45.72,46.34,38.91,40.69,191410000.00,2286130000.00
"Aug 18, 2017",40.85,41.16,31.32,38.85,209845000.00,2042450000.00
"Aug 19, 2017",38.86,42.22,35.4,39.97,168358000.00,1943180000.00
"Aug 20, 2017",39.63,40.65,38.16,38.19,85862200.00,1981640000.00
"Aug 21, 2017",38.04,38.28,34.15,35.3,85955000.00,1902060000.00
"Aug 22, 2017",35.16,36.17,31.6,35.85,68265300.00,1758180000.00
"Aug 23, 2017",35.83,44.03,35.25,40,131763000.00,1791670000.00
"Aug 24, 2017",39.92,42.13,39.31,42.05,63875500.00,1996230000.00
"Aug 25, 2017",41.96,42.26,39.78,40.3,47772200.00,2098230000.00
"Aug 26, 2017",40.31,40.52,37.7,38.59,41017800.00,2015360000.00
"Aug 27, 2017",38.58,41.23,37.42,40.09,50649600.00,1928770000.00
"Aug 28, 2017",40.23,40.31,37.38,38.45,41401000.00,2011600000.00
"Aug 29, 2017",38.46,38.46,30.69,33.66,168534000.00,1922840000.00
"Aug 30, 2017",33.48,35.84,29.71,33.1,97289600.00,1673910000.00
"Aug 31, 2017",32.93,35.09,32.6,33.16,49957300.00,1646720000.00
"Sep 01, 2017",33.17,33.57,28.87,32.01,75418900.00,1658680000.00
"Sep 02, 2017",31.69,34.81,28.55,31.72,92722600.00,1584390000.00
"Sep 03, 2017",31.77,32.65,28.58,30.32,43232300.00,1588690000.00
"Sep 04, 2017",30.44,30.44,17.4,21.83,189917000.00,1522090000.00
"Sep 05, 2017",21.88,23.85,18.93,22.8,91402300.00,1093860000.00
"Sep 06, 2017",22.97,24.32,20.3,21.36,77746300.00,1148320000.00
"Sep 07, 2017",21.3,33.55,20.54,30.78,214001000.00,1065110000.00
"Sep 08, 2017",30.59,30.59,22.41,24.86,112252000.00,1529630000.00
"Sep 09, 2017",24.63,24.63,21.55,21.96,47199500.00,1231580000.00
"Sep 10, 2017",21.76,23.64,19.37,22.75,54002500.00,1088180000.00
"Sep 11, 2017",22.68,23.97,21.7,21.88,27835300.00,1133790000.00
"Sep 12, 2017",21.87,23.6,19.86,20.97,40702300.00,1093590000.00
"Sep 13, 2017",20.83,21.29,17.8,20.06,37258400.00,1041450000.00
"Sep 14, 2017",20.08,20.75,14.95,15.69,42221500.00,1004180000.00
"Sep 15, 2017",15.81,19.12,13.32,18.74,50811700.00,790612000.00
